구분,기수,기업명,분야/업종,대표자,주소
명품강소기업,11기,(주)유진테크노,공기조화장치 제조업 기타 절연선 및 케이블 제조업,지금배,광주 북구 첨단벤처소로 15번길 64
명품강소기업,11기,(주)에이스원,전자부품 실장기판 제조업,김보현,광주 광산구 진곡산단 5번로 43
명품강소기업,11기,㈜아이코디,안경 및 안경렌즈 제조업,박유환,광주 북구 첨단 연신로 30
명품강소기업,11기,㈜쌍용소프트웨어,소프트웨어 개발,이용재,광주 서구 전평길 28
명품강소기업,11기,㈜페이스그래픽,전문 과학 및 기술 서비스,기성간,광주 서구 하남대로 702
명품강소기업,11기,(주)이젠커뮤니케이션즈,소프트웨어 개발 및 공급업,조욱,광주 북구 동문대로 50 403호
명품강소기업,11기,㈜휴덴스바이오,정형외과용 및 신체보정용기기,"노학, 서인천",광주 북구 첨단연신로 318
명품강소기업,11기,마노㈜,그 외 기타 전자부품 제조업,조규옥,광주 광산구 진곡산단 1번로 71
명품강소기업,11기,㈜한영하이테크,산업용 로봇 제조업,염기성,광주 광산구 한남산단 10번로 173
명품강소기업,12기,(주)광우알엔에이,"자동차 부품(쿠션패널, 센터백)",조병진,광주 광산구 평동로 803번길 86
명품강소기업,12기,뉴서광(주),생활가전 플라스틱 사출 및 압출제품,이상섭,광주 광산구 하남산단 7번로 63
명품강소기업,12기,㈜다스디자인,"제품 디자인, 시각 디자인",정재훈,광주 북구 첨단과기로 208번길 43-10 A동 610호
명품강소기업,12기,동진기업㈜,"2차전지, FA설비",양오열,광주 광산구 빛동 14로 11
명품강소기업,12기,㈜리치룩스,"LED 조명기기, 경관 조명",이옥범,광주 북구 첨단벤처로 28번길 7
명품강소기업,12기,(주)은혜기업,차량용 어퍼암 및 로우암,나용근,광주 광산구 평동산단 1번로 14
명품강소기업,12기,(주)알텍,"에어컨 부품, 자동차 부품",임한근,광주 광산구 진곡산단 중앙로 149
명품강소기업,12기,애니젠(주),펩타이드 바이오소재,김재일,"광주 북구 첨단과기로 333, 시험생산동 206호"
명품강소기업,12기,오텍캐리어 주식회사,"냉난방기, 공기청정기, 생활가전제품",정필경,광주 광산구 하남산단 3번로 55
명품강소기업,12기,주식회사 엠앤케이,"3D 영상물, VR",김원상,"광주 동구 금남로 245, 718호"
명품강소기업,12기,㈜제일산기,자동차 차체 부품,"임채선, 임춘섭",광주 광산구 하남산단 10번로 165
명품강소기업,12기,㈜트로닉스,소프트웨어 개발 공급,박병덕,"광주 북구 첨단벤처로 124, 비 2동 208호"
명품강소기업,12기,㈜하나룩스,"LED 가로등, 조명기구",윤정주,광주 서구 상무자유로 18-2
명품강소기업,12기,㈜금호기공,자동차 차체용 부품,고광옥,광주 광산구 평동산단 5번우로 40
명품강소기업,12기,주식회사 디투리소스,소프트웨어,나상민,"광주 동구 동계천로 150, 203호"
명품강소기업,12기,주식회사 리눅스아이티,"로봇 제어, 임베디드 모듈, 전자 부품 등",권경주,광주 광산구 금봉로 44번길 53-18
명품강소기업,12기,(주)메가웍스,소프트웨어,박기원,광주 서구 경열로 17번길 12 2층 209호
명품강소기업,12기,㈜비비엔다,침구,민남희,광주 북구 어매마을길 31
명품강소기업,12기,㈜삼도환경,플라즈마 탈취기,정우남,"광주 북구 첨단과기로 123, 창업진흥센터 A동 116-1호"
명품강소기업,12기,㈜수인산업,자동차 전기장치,박연의,광주 광산구 진곡산단 5번로 17-19
명품강소기업,12기,(주)수연산업,"자동차 및 전자부품, Assy 제품",김종수,광주 광산구 평동로 803번안길 97
명품강소기업,12기,㈜삼우전자,"히트싱크 Assy, 에어컨 및 냉장고 방열판",김동수,광주 광산구 하남산단 9번로 186-25
명품강소기업,12기,선일텔레콤㈜,전기통신 기자재,김연지,광주 북구 첨단연신로 77번길 15
명품강소기업,12기,(주)성진글로벌,"완충시트, 러버, 실리콘 패드",정상희,광주 광산구 평동로 913번길 43
명품강소기업,12기,㈜씨아이에스케미칼,이차전지 소재,이성오,광주 광산구 진곡산단 중앙로 106
명품강소기업,12기,농업회사법인 ㈜유기농마루,건강식품,김상범,광주 광산구 월전동 1243
명품강소기업,12기,이에스글로벌㈜,진공 단열제,임동규,광주 광산구 용아로 637
명품강소기업,12기,(주)우리원테크,액체 펌프,김찬욱,광주 광산구 빛 12로 4
명품강소기업,12기,제이피산업㈜,가정용 전기 난방기기,정판성,광주 광산구 비아로 147번길 8-30
명품강소기업,12기,㈜준테크,"냉장고, 냉난방기 부품",정종인,광주 광산구 진곡산단 3번로 41-17
